,0
480155,No Matched Biovar
157775,Biovar 3
3994045,Biovar 1
371205,Biovar 2
698325,Biovar 2
292005,No Matched Biovar
366245,Biovar 2
742055,Biovar 2
740255,Biovar 3
371085,No Matched Biovar
698285,Biovar 2
366225,Biovar 2
600055,Biovar 1
365705,Biovar 2
366085,Biovar 4
160275,Biovar 4
371285,Biovar 2
699025,Biovar 2
292105,No Matched Biovar
223195,Biovar 1
741995,Biovar 4
480195,No Matched Biovar
331635,Biovar 1
371325,Biovar 2
698245,Biovar 2
701065,Biovar 1
371145,No Matched Biovar
365585,Biovar 2
371185,No Matched Biovar
1715425,Biovar 1
371265,Biovar 2
2749475,Biovar 1
3194855,Biovar 1
365565,Biovar 2
742005,Biovar 1
4684165,Biovar 1
236255,Biovar 1
480055,Biovar 2
371305,Biovar 2
480315,Biovar 2
875695,Biovar 1
371245,Biovar 2
371225,Biovar 2
7505,Biovar 1
371125,Biovar 2
3994175,Biovar 2
18905,Biovar 2
366265,Biovar 1
480035,Biovar 2
371165,Biovar 2
900460605,Biovar 1
366205,Biovar 1
371105,Biovar 4
209635,Biovar 1
1594165,Biovar 1
900446145,Biovar 1
480135,Biovar 2
698345,Biovar 2
